timestamp,min_lum,mean_lum,max_lum,diff_lum,amp_rms,amp_peak,ebu_r128_M
826.6,0,73.1197,191,9.07419,-23.67012573418148,-33.715327760149094,-31.487
826.633333,0,73.5877,192,7.31144,-24.26739943509979,-34.688995919561634,-31.717664359999745
826.666667,2,75.0679,191,8.67182,-25.365718,-33.708515,-31.94833563999947
826.7,2,75.0602,192,0.0419097,-22.97230381338806,-32.05857208507974,-32.179
826.733333,0,75.8671,192,10.4894,-23.84269958913474,-33.400535536304616,-32.441664040000006
826.766667,2,76.1136,192,10.0048,-23.375045815638025,-34.16653833722387,-32.704335959999995
826.8,0,75.8893,188,8.68887,-22.606361854724426,-32.019641939992134,-32.967
826.833333,0,76.1494,190,6.47855,-24.149717252235416,-35.390775829378654,-33.12999837000037
826.866667,0,76.1407,188,0.0571777,-24.630571308630174,-34.04987140312993,-33.293001630000184
826.9,0,77.3584,188,5.64795,-23.637499760608154,-34.19789278652618,-33.456
826.933333,0,79.0965,187,8.41933,-26.412376961749622,-35.92017898776043,-33.433666890000026
826.966667,0,80.526,187,9.64882,-25.412279694095854,-35.55725708577586,-33.41133310999998
827.0,0,80.9793,186,10.709,-24.741798237044335,-34.681220988467636,-33.389
827.033333,0,80.9789,186,0.0843902,-21.086984824412905,-31.375464884879722,-33.52233199999986
827.066667,0,80.9759,186,0.0524089,-25.83193586275963,-34.46855561056257,-33.65566800000015
827.1,0,81.0729,193,9.17701,-25.986160441221966,-35.33038440826914,-33.789
827.133333,0,81.1737,190,7.40669,-24.193111288426056,-33.36110025664357,-33.89333228999988
827.166667,0,80.9957,186,11.4474,-26.14083215018111,-33.5412058162551,-33.99766770999976
827.2,0,80.9804,186,0.0694293,-25.413352,-34.315024,-34.102
827.233333,0,80.3475,185,13.1081,-24.871603339926235,-33.29732047839353,-33.988001139999994
827.266667,0,78.9751,189,13.7457,-25.58804723850677,-34.11809623428572,-33.87399886
